index, name                                                   , type      , volume-mm3 
358 , ctx-lh-supramarginal_5                                 , cortical  ,     1466.0 
216 , ctx-rh-transversetemporal_1                            , cortical  ,      862.0 
217 , ctx-rh-insula_1                                        , cortical  ,      594.0 
214 , ctx-rh-superiortemporal_10                             , cortical  ,      779.0 
215 , ctx-rh-superiortemporal_11                             , cortical  ,     1926.0 
212 , ctx-rh-superiortemporal_8                              , cortical  ,     2051.0 
213 , ctx-rh-superiortemporal_9                              , cortical  ,      688.0 
210 , ctx-rh-superiortemporal_6                              , cortical  ,     1584.0 
211 , ctx-rh-superiortemporal_7                              , cortical  ,     1009.0 
218 , ctx-rh-insula_2                                        , cortical  ,     1161.0 
219 , ctx-rh-insula_3                                        , cortical  ,      730.0 
289 , ctx-lh-superiorfrontal_3                               , cortical  ,     1176.0 
288 , ctx-lh-superiorfrontal_2                               , cortical  ,     1228.0 
4   , ctx-rh-lateralorbitofrontal_4                          , cortical  ,     1279.0 
281 , ctx-lh-rostralmiddlefrontal_8                          , cortical  ,     1164.0 
280 , ctx-lh-rostralmiddlefrontal_7                          , cortical  ,     1518.0 
283 , ctx-lh-rostralmiddlefrontal_10                         , cortical  ,      930.0 
282 , ctx-lh-rostralmiddlefrontal_9                          , cortical  ,     1371.0 
285 , ctx-lh-rostralmiddlefrontal_12                         , cortical  ,     1063.0 
284 , ctx-lh-rostralmiddlefrontal_11                         , cortical  ,      720.0 
287 , ctx-lh-superiorfrontal_1                               , cortical  ,     1612.0 
286 , ctx-lh-rostralmiddlefrontal_13                         , cortical  ,     1281.0 
263 , ctx-lh-medialorbitofrontal_3                           , cortical  ,     1113.0 
262 , ctx-lh-medialorbitofrontal_2                           , cortical  ,     1646.0 
261 , ctx-lh-medialorbitofrontal_1                           , cortical  ,     1327.0 
260 , ctx-lh-frontalpole_1                                   , cortical  ,      731.0 
267 , ctx-lh-parstriangularis_2                              , cortical  ,      903.0 
266 , ctx-lh-parstriangularis_1                              , cortical  ,      782.0 
265 , ctx-lh-medialorbitofrontal_5                           , cortical  ,     1180.0 
264 , ctx-lh-medialorbitofrontal_4                           , cortical  ,      855.0 
269 , ctx-lh-parstriangularis_4                              , cortical  ,      807.0 
268 , ctx-lh-parstriangularis_3                              , cortical  ,     1720.0 
59  , ctx-rh-precentral_1                                    , cortical  ,      692.0 
58  , ctx-rh-caudalmiddlefrontal_5                           , cortical  ,     1353.0 
55  , ctx-rh-caudalmiddlefrontal_2                           , cortical  ,      907.0 
54  , ctx-rh-caudalmiddlefrontal_1                           , cortical  ,      831.0 
57  , ctx-rh-caudalmiddlefrontal_4                           , cortical  ,     1592.0 
56  , ctx-rh-caudalmiddlefrontal_3                           , cortical  ,      825.0 
51  , ctx-rh-superiorfrontal_15                              , cortical  ,      677.0 
